,context,response,label,explanation
0,"A: 최근에 본 영화 중에 추천할 만한 것이 있나요?
B: 저는 ""터미네이터""를 보았는데, 상당히 재미있었습니다.
A: 그렇군요. 저도 그 영화를 볼까 생각 중이었습니다. 어떤 부분이 가장 인상적이었나요?
B: 아마도 그것은 결말 부분일 것입니다. 전형적인 할리우드 영화의 결말처럼 상당히 화려하고 긴장감 넘치는 장면이었습니다.","A: 아, 그럼 정말로 마지막 장면은 놀라울 정도로 감동적이었겠군요.",Non-Sarcasm,"이 대화는 등장인물들이 서로의 의견에 진지하게 반응하며, 영화에 대한 구체적인 인상을 공유하고 있기 때문에 sarcasm이 아니라 진정한 의사소통으로 볼 수 있다. B가 제시한 의견에 A가 긍정적으로 반응하고 있는 점에서 진지한 대화가 느껴진다."
1,"A: '모가디슈' 영화를 보셨나요?
B: 아니, 아직 안 봤어. 근데 주인공이 누구야?
A: 조인성 배우가 주인공입니다.
B: 그래? 조인성이라니. 그럼 볼만하겠네.","A: 그럼요, 영화를 선택할 때 가장 중요한 것은 주연배우의 외모니까요.",Sarcasm,"B가 조인성 배우 때문에 영화를 볼 만하다고 했지만, 실제로는 영화의 내용이나 다른 배우들, 연출 등도 중요하므로 이를 비꼬아 말한다."
2,"A: 안녕하세요, 처음 뵙겠습니다. 저는 이번 영화의 PD입니다.
B: 안녕하세요. 이렇게 만나게 돼서 반갑습니다.
A: 우리 연예계에서 어떤 연예인을 가장 좋아하시나요?
B: 저는 강동원 씨를 좋아합니다. 외모도 좋고 연기도 잘하시니까요.
A: 그럼 강동원 씨와 결혼하게 된다면 어떨까요?
B: 그런 상상을 할 수 있을까요? 제가 일반인이라...","A: 아니, 내일 바로 결혼하시는 것도 가능하겠네요.",Sarcasm,일반인이자 연예계 외인인 B가 유명한 배우 강동원과 결혼한다는 상상을 하게 되면서 이에 대해 긍정적으로 반응하지 않았다. 이에 A는 상상 자체가 불가능한 일로 인식되었음을 알리기 위해 부정적인 사항을 긍정적으로 바꿔 표현한다.
3,"A: 오늘 뭐 할 거야?
B: 뮤지컬 보러 가려고. 영어로 하는 거.
A: 영어로 하는 뮤지컬이라니? 한국인들 대화도 어렵게 하지 말고 그냥 한국어로 하면 안 되나?
B: 그럼 노래를 영어로 부르는 거랑 대화를 하는 게 어려워서 그냥 한국인이 하는 뮤지컬 보기로 했어.","A: 와, 너 정말 우리나라를 사랑하는구나.",Sarcasm,"한국인이 영어 뮤지컬을 부르는 것이 어렵다는 것을 인정하면서, 한국인이 하는 뮤지컬을 보기로 결정한 B의 말에 대해 A가 한국어로 하는 것이 어렵다는 말을 비꼬아 말한다."
4,"B: 연말이라서 일이 많아서 점심시간에 쉬는 게 죄송스럽게 느껴지지 않으세요?
A: 아니요, 그렇게 느껴지지 않아요. 제가 먹는 시간이나 휴식시간을 가지는 것은 제 권리이니까요.
B: 그럼 그렇게 바쁘더라도 동료들과 함께 식사하는 시간은 가질 수 있으신가요?
A: 네, 당연하죠. 저희는 동료로서 서로를 이해하고 존중하니까요.","B: 아, 그렇군요. 여러분은 참 특별하신 분들이시네요.",Non-Sarcasm,"이 대화는 서로의 권리와 존중에 대해 진지하게 이야기하고 있으며, 상대방의 의견을 존중하는 모습이 드러나 비꼬지 않고 직접적으로 소통하고 있다. A는 자신의 권리와 동료 간의 이해를 강조하며 진솔한 대화를 나눴다."
5,"B: 최근에 올림픽 경기 많이 보셨나요?
A: 네, 배구와 양궁 경기를 특히 재밌게 봤습니다.
B: 저도 그렇게 생각합니다. 특히 김연경 선수의 모습이 정말 인상 깊었어요.
A: 네, 저도 한일 배구 경기를 실시간으로 지켜봤습니다. 그 경기가 정말로 재미있었어요.",B: 그 경기를 보면서 잠이 한 번도 오지 않았겠군요.,Non-Sarcasm,"이 대화는 A와 B가 올림픽 경기에 대해 진지하게 의견을 나누고 있으며, 감정이나 의견을 솔직하게 표현하고 있기 때문에 비꼬거나 풍자하는 것이 아니다. A와 B는 서로의 경험을 공유하며 공감하고 있다는 점에서 non-sarcasm으로 볼 수 있다."
6,"B: 소주와 양주 중에 어떤 술을 선호하십니까?
A: 저는 소주가 더 좋습니다. 한국에서 만든 술이기도 하고요.
B: 그렇군요. 저는 양주를 더 선호합니다. 술 자체의 맛이 깊고 진하다는 느낌이 들어서요.","A: 네, 그런 면에서는 양주가 더 우세할 수 있겠네요. 아, 그런데 어제 친구들과 술자리에서 도전적으로 많은 양의 소주를 마셨는데요, 아직도 속이 불편해요.",Non-Sarcasm,"이 대화는 각자의 술 선호를 진지하게 이야기하고 있으며, 상대방의 의견에 진정한 공감을 표현하고 있다. 또한, A가 속 불편함을 언급함으로써 개인적인 경험을 공유하고 소통하려는 의도가 보인다."
7,"B: 왜 너는 항상 모르는 척해? 말을 하면 이해하라고 하는 거야!
A: 나도 몰라. 네가 말을 너무 복잡하게 해서 그런 거 아냐?
B: 그게 아니라 네가 이해력이 없는 거지. ","A: 그래, 나는 너처럼 이해력이 좋지 않아서 복잡한 것들을 다 이해하지 못해.",Sarcasm,"A는 B의 이해력이 없다며 비난하고 있다. 이에 B는 A의 말을 무시하고, 자신의 이해력이 뛰어나다고 비꼬아 말한다."
8,"A: 뭐 마시러 갈래?
B: 아무래도 스타벅스가 좋지 않을까? 카페라테 한 잔에 몇 천 원인데.
A: 스타벅스도 좋은데, 공차는 어때? 버블티 한 잔에 만 원이 넘는데.
B: 그런데 그보다 팔공 티가 가성비가 제일 좋아. 한 잔에 삼천 원대인데.","A: 아니, 진짜? 팔공 티가 그렇게 싸게 팔고 있어도 되는 거야?",Sarcasm,"상대방이 팔공 티위 가격이 싼 것을 긍정적으로 말하였지만, 실제로는 팔공 티위 가격이 다른 곳보다 비싸다는 것을 알고 있기 때문에 이를 비꼬아 말한다."
9,"A: 어제 내 방에서 벌레 발견했어.
B: 진짜? 어떤 벌레였어?
A: 초록색으로 빛나는 벌레였어. 정말 이상해.
B: 그럼 어떻게 했어? 쫓아냈어?
A: 아니, 그냥 그냥 놔뒀어. 나중에 사라지겠지.","B: 아, 진짜 대단하다. 벌레에게 집을 내주다니!",Sarcasm,마지막으로 A가 말한 '그냥 놔뒀다'라는 행동을 아무런 문제가 없는 것처럼 농담하듯이 비꼬아 말한다.
