context,response,label,explanation
제품 누락 및 사이즈 문제에 대한 고객 리뷰,"제품이 누락되어 다시 발송받았고, 사이즈가 작아서 남성이 사용하기에는 불편한 것 같습니다.",Non-Sarcasm,"제품의 누락과 사이즈 문제를 사실적으로 전달하고 있으며, 불만을 직접적으로 표현하고 있어 풍자가 아닙니다."
현재 상황이나 문제 해결 방식에 대한 불만과 체념의 표현,"현재 문제를 해결할 방법이 없어 보이니, CMS를 사용하는 게 최선일 것 같습니다.",Non-Sarcasm,"문제를 해결할 다른 방법이 없음을 체념적으로 표현하고 있으며, 풍자적 요소 없이 사실을 전달하고 있습니다."
음식의 양과 품질에 대한 부정적인 리뷰,음식의 양이 기대보다 적고 품질이 좋지 않았습니다. 연어는 괜찮았습니다.,Non-Sarcasm,"음식의 양과 품질에 대한 불만을 직접적으로 표현하며, 연어에 대한 긍정적인 부분도 언급하여 사실을 전달하고 있기 때문에 풍자가 아닙니다."
가격에 대한 불만과 가성비에 대한 의견을 담은 리뷰,이 가격이면 금으로 만든 제품인 줄 알았어요.,Sarcasm,"제품의 실제 가치보다 가격이 너무 높다고 느껴져서, 비꼬는 투로 금으로 만든 제품인 것처럼 과장하여 표현한 것이므로 풍자입니다."
가격에 대한 불만과 가성비에 대한 의견을 담은 리뷰,"가격이 34,800원이라서 추천하지 않습니다. 14,800원이면 추천했을 것입니다.",Non-Sarcasm,"제품 가격에 대한 구체적인 불만을 직접적으로 표현하고 있어, 과장이나 비꼬는 표현 없이 사실을 전달하고 있기 때문에 풍자가 아닙니다."
제품과 서비스에 대한 고객 불만 리뷰,"사은품이 품절이라더니, 그냥 '사은품'이란 단어가 사라진 것 같네요.",Sarcasm,"사은품이 없어진 상황을 비꼬며, 사은품이라는 개념 자체가 사라진 것처럼 표현하여 풍자적인 의미를 담고 있습니다."
제품과 서비스에 대한 고객 불만 리뷰,"다른 제품과는 차이가 있고, 약속된 사은품이 오지 않아서 불편합니다. 액체접착제를 사용할 수 없어 난감합니다.",Non-Sarcasm,"사은품의 부족과 제품의 불편함을 사실적으로 설명하고 있으며, 비꼬는 요소가 없기 때문에 풍자가 아닙니다."
게임이나 인터넷 연결에서의 높은 핑에 대한 불만,핑이 너무 높아서 게임 플레이에 지장이 있습니다.,Non-Sarcasm,"핑 문제를 직접적으로 지적하며, 비꼬는 표현 없이 문제를 명확하게 전달하고 있습니다."
제품 품질에 대한 만족과 가격에 대한 아쉬움을 표현한 리뷰,"품질은 좋지만, 가격이 저렴한 건 꿈에서나 가능할 듯?",Sarcasm,가격이 저렴한 것을 비현실적인 상황에 비유하여 가격에 대한 불만을 풍자적으로 표현하고 있기 때문에 풍자입니다.
제품 품질에 대한 만족과 가격에 대한 아쉬움을 표현한 리뷰,"품질은 만족스럽지만, 가격이 조금 더 저렴했으면 좋겠습니다.",Non-Sarcasm,"제품의 품질과 가격에 대한 솔직한 의견을 직접적으로 표현하고 있으며, 비꼬거나 과장된 표현 없이 사실을 전달하고 있기 때문에 풍자가 아닙니다."
게임이나 콘텐츠가 재미없다는 사용자 불만 리뷰,"이 게임, 30분 동안 즐거움이 뭔지 깨달았어요. 없는 줄 알았거든요.",Sarcasm,즐거움을 느꼈다는 표현을 사용하면서 실제로는 전혀 재미를 느끼지 못했다는 것을 비꼬아 표현하고 있어 풍자입니다.
게임이나 콘텐츠가 재미없다는 사용자 불만 리뷰,30분 동안 플레이했는데 재미가 없었습니다.,Non-Sarcasm,"재미가 없다는 사실을 직접적으로 표현하고 있으며, 과장이나 비꼬는 표현이 없기 때문에 풍자가 아닙니다."
팬티라인의 디자인과 착용감에 대한 불만 리뷰,헴라인이 이렇게 약하면 차라리 팬티 없이 다니는 게 낫겠네요.,Sarcasm,"팬티라인의 문제를 과장하여, 헴라인이 약한 것에 대한 불만을 풍자적으로 표현하고 있습니다."
팬티라인의 디자인과 착용감에 대한 불만 리뷰,헴라인이 약해서 팬티라인이 올라가고 불편합니다. 다음에는 삼각 팬티를 선택해야 할 것 같습니다.,Non-Sarcasm,"팬티라인의 문제를 사실적으로 설명하고 있으며, 불만을 표현하되 과장된 표현이 없어 풍자가 아닙니다."
게임의 중독성에 대한 긍정적이면서도 다소 비꼬는 리뷰,"이 게임 덕분에 시간 여행의 달인이 되었어요, 같은 레벨을 3번씩 반복하니까요.",Sarcasm,시간 여행이라는 과장된 표현을 사용하여 반복 플레이를 비꼬고 있어 풍자적입니다.
게임의 중독성에 대한 긍정적이면서도 다소 비꼬는 리뷰,"게임이 별다른 요소가 없는데도 불구하고, 계속해서 3번씩 반복해서 플레이하게 됩니다.",Non-Sarcasm,"게임의 반복적인 플레이 요소에 대해 사실적으로 설명하고 있으며, 비꼬는 표현 없이 직접적으로 설명하고 있어 풍자가 아닙니다."
제품 사용 후 특별한 장점이나 단점이 없는 평범한 경험에 대한 리뷰,"와, 이 제품은 그냥 무난함의 끝판왕이네요!",Sarcasm,‘무난함의 끝판왕’이라는 표현을 사용하여 제품의 특별한 점이 없음을 비꼬고 있기 때문에 풍자입니다.
제품 사용 후 특별한 장점이나 단점이 없는 평범한 경험에 대한 리뷰,제품 사용감이 특별히 뛰어나거나 부족하지 않고 무난합니다.,Non-Sarcasm,특별한 감정이나 과장된 표현 없이 제품의 사용감을 사실적으로 전달하고 있어 풍자가 아닙니다.
옷의 길이와 착용감에 대한 불만 리뷰,허리의 천이 말려서 새로운 패션 트렌드인가 봐요.,Sarcasm,옷의 불편함을 새로운 패션 트렌드로 비꼬아 표현하고 있어 풍자입니다.
옷의 길이와 착용감에 대한 불만 리뷰,옷의 길이가 예상보다 짧아서 허리 부분에 천이 말립니다.,Non-Sarcasm,옷의 길이와 착용감 문제를 직설적으로 설명하고 있어 풍자가 아닙니다.
사혈침 제품의 품질에 대한 부정적인 리뷰,사혈침의 마감 처리가 미흡하여 제품이 저렴해 보입니다.,Non-Sarcasm,"제품의 품질 문제를 직접적으로 지적하고 있으며, 비꼬는 표현 없이 사실을 전달하기 때문에 풍자가 아닙니다."
제품이나 서비스의 신호 수신 감도에 대한 불만 리뷰,"혹시 이 제품, 투명 모드로 작동하나요?",Sarcasm,제품이 신호를 잘 잡지 못하는 문제를 '투명 모드'라는 비현실적인 기능에 빗대어 비꼬고 있어 풍자입니다.
제품이나 서비스의 신호 수신 감도에 대한 불만 리뷰,신호가 잘 잡히지 않아 사용에 불편함이 있습니다.,Non-Sarcasm,"신호 수신 문제를 직접적으로 표현하고 있으며, 과장이나 비꼬는 표현 없이 사실을 전달하고 있기 때문에 풍자가 아닙니다."
게임의 복잡한 스토리나 인터페이스에 대한 혼란을 표현한 리뷰,게임의 스토리나 진행 방식이 너무 복잡해서 이해하기 어렵습니다.,Non-Sarcasm,"게임의 복잡함을 직접적으로 언급하며, 비꼬거나 과장된 표현 없이 사실을 전달하고 있어 풍자가 아닙니다."
